iter	RMSE
305	4.447508861
306	4.442016851
307	4.436230014
308	4.434546921
309	4.430438856
310	4.426247968
311	4.426026453
312	4.423404275
313	4.420912265
314	4.413927943
315	4.409524725
316	4.403914406
317	4.401691974
318	4.396325866
319	4.392470574
320	4.388718712
321	4.387074863
322	4.386863656
323	4.38303855
324	4.380335535
325	4.377954458
326	4.374716235
327	4.37280085
328	4.372197164
329	4.366002826
330	4.35945987
331	4.359271807
332	4.35838405
333	4.355119307
334	4.353206975
335	4.348722675
336	4.344468362
337	4.342926666
338	4.338942871
339	4.334960257
340	4.331054434
341	4.329114521
342	4.325009309
343	4.322531179
344	4.319015626
345	4.317695306
346	4.31554801
347	4.310487843
348	4.308289538
349	4.304425836
350	4.30168791
351	4.299992616
352	4.297544527
353	4.293431948
354	4.292176392
355	4.28818187
356	4.283186319
357	4.279216536
358	4.276879416
359	4.270832262
360	4.26506165
361	4.261178065
362	4.260635086
363	4.258726194
364	4.254948583
365	4.249847572
366	4.249274253
367	4.245552012
368	4.243862558
369	4.240668197
370	4.238323876
371	4.238125534
372	4.234701951
373	4.232592291
374	4.229143064
375	4.22741775
376	4.223878357
377	4.22222462
378	4.218448719
379	4.216670896
380	4.211144812
381	4.209976476
382	4.204813746
383	4.201916866
384	4.198194875
385	4.1933911
386	4.191072545
387	4.187619438
388	4.184372135
389	4.182180254
390	4.178508864
391	4.176062949
392	4.175899273
393	4.175509224
394	4.173000496
395	4.170408321
396	4.169842222
397	4.166828616
398	4.164554361
399	4.159127289
400	4.156229885
401	4.153603388
402	4.14977311
403	4.148466417
404	4.146159351
405	4.142827914
406	4.139442873
407	4.13653192
408	4.132439277
409	4.128244703
410	4.127677319
411	4.126539112
412	4.121891469
413	4.118348764
414	4.116264635
415	4.114304256
416	4.114164987
417	4.110851632
418	4.105843922
419	4.102623279
420	4.098440752
421	4.093319196
422	4.089940502
423	4.08893464
424	4.088817345
425	4.086757746
426	4.086060933
427	4.081762715
428	4.080485558
429	4.079141109
430	4.076186556
431	4.070499399
432	4.066310675
433	4.063136418
434	4.05978997
435	4.057957376
436	4.055871867
437	4.05359987
438	4.051397008
439	4.05110631
440	4.050905397
441	4.050623101
442	4.049284173
443	4.047208373
444	4.044241161
445	4.043602397
446	4.043415484
447	4.042048655
448	4.041484944
449	4.038212943
450	4.037143018
451	4.033552128
452	4.02848618
453	4.026597556
454	4.02648534
455	4.024045386
456	4.021427856
457	4.01639721
458	4.012342452
459	4.008447
460	4.005591809
461	4.002615799
462	4.001089462
463	4.000924775
464	3.999758075
465	3.996329564
466	3.993716264
467	3.990967538
468	3.986077218
469	3.981942263
470	3.979511137
471	3.978710748
472	3.976632276
473	3.973629365
474	3.971681233
475	3.969473374
476	3.967449195
477	3.964201367
478	3.961392091
479	3.960555052
480	3.957563554
481	3.954189385
482	3.951677502
483	3.951174462
484	3.950004392
485	3.948566779
486	3.945892579
487	3.944444941
488	3.942231768
489	3.941703541
490	3.939293916
491	3.937315443
492	3.935519958
493	3.932131616
494	3.929082532
495	3.927830529
496	3.926085941
497	3.92046034
498	3.917780271
499	3.912146908
500	3.909512239
501	3.907282112
502	3.90568216
503	3.903849431
504	3.90198085
505	3.898886694
506	3.895450146
507	3.89382729
508	3.890286637
509	3.887655219
510	3.88413899
511	3.881250123
512	3.88098973
513	3.880561174
514	3.87825162
515	3.87523511
516	3.87174933
517	3.870297511
518	3.86955017
519	3.867557245
520	3.865653713
521	3.862549767
522	3.859840696
523	3.857657597
524	3.856305353
525	3.854271938
526	3.8501781
527	3.848251277
528	3.846812941
529	3.843622474
530	3.841530085
531	3.841376363
532	3.840404321
533	3.839230428
534	3.837414321
535	3.836673975
536	3.834724455
537	3.832192922
538	3.830725157
539	3.828775926
540	3.826345379
541	3.822059159
542	3.82066851
543	3.818403247
544	3.815693905
545	3.814141097
546	3.812239199
547	3.809206493
548	3.806842247
549	3.802816757
550	3.802126015
551	3.799855865
552	3.797016381
553	3.793973634
554	3.791456515
555	3.791049608
556	3.786284958
557	3.78323688
558	3.780572595
559	3.780450488
560	3.778179709
561	3.777871194
562	3.775514007
563	3.774711016
564	3.773389646
565	3.769954575
566	3.769871603
567	3.769753753
568	3.769610982
569	3.768628525
570	3.766908744
571	3.765090588
572	3.762174425
573	3.76051743
574	3.758379267
575	3.752545758
576	3.752328138
577	3.752194809
578	3.751410374
579	3.746918093
580	3.743662215
581	3.739125992
582	3.738200596
583	3.736592866
584	3.736130337
585	3.732502199
586	3.729595181
587	3.729465606
588	3.729067874
589	3.725773555
590	3.720967504
591	3.720740679
592	3.719694214
593	3.717988596
594	3.716442817
595	3.713236102
596	3.712057637
597	3.709656025
598	3.708717846
599	3.708043378
600	3.70774319
601	3.707560098
602	3.705078832
603	3.704747108
604	3.702982937
605	3.70016287
606	3.69908199
607	3.698314845
608	3.698024854
609	3.69619073
610	3.694966654
611	3.690885874
612	3.688466682
613	3.684566378
614	3.679384228
615	3.676903447
616	3.675128908
617	3.672791636
618	3.671455743
619	3.670358578
620	3.668095556
621	3.665840022
622	3.663062611
623	3.65996547
624	3.657928305
625	3.654162104
626	3.649931755
627	3.647863421
628	3.645198926
629	3.641581941
630	3.638332117
631	3.636888537
632	3.635762044
633	3.635132313
634	3.633702331
635	3.631077135
636	3.629975622
637	3.628624901
638	3.6273139
639	3.625955875
640	3.623767835
641	3.621390625
642	3.620545937
643	3.619214276
644	3.616559667
645	3.61537688
646	3.614166691
647	3.613822023
648	3.611119793
649	3.609137387
650	3.607881079
651	3.606837452
652	3.605135265
653	3.60292965
654	3.598862544
655	3.5963556
656	3.593614193
657	3.590614557
658	3.58925267
659	3.588087584
660	3.586888414
661	3.58677556
662	3.585453797
663	3.584658275
664	3.581980979
665	3.578065779
666	3.575175005
667	3.573193688
668	3.570762412
669	3.568193999
670	3.564880673
671	3.563800118
672	3.562147736
673	3.560012626
674	3.559192592
675	3.557141538
676	3.555719724
677	3.554901345
678	3.553705258
679	3.552189066
680	3.550296163
681	3.550101595
682	3.54774607
683	3.545909001
684	3.545176788
685	3.543924034
686	3.542044489
687	3.54086704
688	3.53939783
689	3.539268029
690	3.537263425
691	3.53609107
692	3.532618368
693	3.531285174
694	3.530906972
695	3.529253194
696	3.526704485
697	3.525011299
698	3.522807037
699	3.520771728
700	3.518189893
701	3.514780145
702	3.514485081
703	3.511453244
704	3.509246742
705	3.508872591
706	3.506008247
707	3.50225327
708	3.500352616
709	3.497795726
710	3.497700485
711	3.496734765
712	3.493144427
713	3.491259098
714	3.485001703
715	3.484187037
716	3.483704185
717	3.481457592
718	3.48118214
719	3.480737036
720	3.480006515
721	3.477936458
722	3.47679351
723	3.471463763
724	3.471043257
725	3.469554304
726	3.468410453
727	3.467168815
728	3.465600892
729	3.463176275
730	3.462797982
731	3.460791158
732	3.455874275
733	3.455763362
734	3.453569421
735	3.453160426
736	3.448845152
737	3.448304504
738	3.448174582
739	3.446651845
740	3.444960819
741	3.444012556
742	3.443144758
743	3.439986863
744	3.436819281
745	3.434569773
746	3.433484162
747	3.431464493
748	3.430516186
749	3.430373411
750	3.427920801
751	3.427818995
752	3.424959353
753	3.424650459
754	3.42304513
755	3.420137366
756	3.417084612
757	3.41583214
758	3.414407214
759	3.412430295
760	3.410375397
761	3.407556776
762	3.406060958
763	3.401529116
764	3.398389895
765	3.396625717
766	3.394643203
767	3.393587179
768	3.392948541
769	3.389948022
770	3.388930922
771	3.388156925
772	3.387255134
773	3.386371259
774	3.384534425
775	3.383373969
776	3.38306962
777	3.382392408
778	3.380602869
779	3.379013233
780	3.375932717
781	3.374114255
782	3.37066323
783	3.369765279
784	3.368247121
785	3.367664757
786	3.364284944
787	3.364058843
788	3.362380684
789	3.36176512
790	3.360737141
791	3.360623725
792	3.358967078
793	3.357808268
794	3.356676044
795	3.35657406
796	3.355485939
797	3.354393867
798	3.351777623
799	3.350223949
800	3.349557604
801	3.346895548
802	3.344937855
803	3.343608835
804	3.343425009
805	3.341550413
806	3.337073596
807	3.336730726
808	3.334027983
809	3.33263303
810	3.331017924
811	3.329701589
812	3.329119598
813	3.326706689
814	3.325509934
815	3.324999464
816	3.322869212
817	3.321344675
818	3.321256728
819	3.321176476
820	3.320494591
821	3.317762987
822	3.316919484
823	3.315319931
824	3.313987519
825	3.313855276
826	3.312116881
827	3.31010731
828	3.309183831
829	3.307653395
830	3.306664985
831	3.305340487
832	3.302038508
833	3.29977897
834	3.298833688
835	3.298090218
836	3.297291613
837	3.296686105
838	3.294801255
839	3.292333869
840	3.291197252
841	3.288899471
842	3.287682089
843	3.287323931
844	3.28653243
845	3.284137134
846	3.282667936
847	3.279527567
848	3.277603802
849	3.277495769
850	3.276516972
851	3.275325877
852	3.27385673
853	3.273352119
854	3.272543621
855	3.27117865
856	3.270296039
857	3.269645043
858	3.267977864
859	3.267424891
860	3.265753323
861	3.263956351
862	3.262787655
863	3.261412982
864	3.261097209
865	3.257891308
866	3.255295204
867	3.252853174
868	3.250409533
869	3.249573602
870	3.247298619
871	3.245238326
872	3.242663121
873	3.241876805
874	3.239846159
875	3.23796587
876	3.236252444
877	3.236057004
878	3.235243791
879	3.232781303
880	3.230189231
881	3.225966867
882	3.225025683
883	3.222419791
884	3.219575472
885	3.217023481
886	3.215897474
887	3.214074742
888	3.209587177
889	3.207998095
890	3.205736329
891	3.205227121
892	3.20262455
893	3.200428692
894	3.200339316
895	3.198702364
896	3.198444266
897	3.197810611
898	3.195459269
899	3.191685018
900	3.190207938
901	3.189458654
902	3.188862073
903	3.187811291
904	3.18644223
905	3.1835864
906	3.181035682
907	3.178430254
908	3.175929401
909	3.17472972
910	3.173824493
911	3.167936361
912	3.167346145
913	3.16266963
914	3.160252231
915	3.15950682
916	3.159143318
917	3.158520946
918	3.158456016
919	3.157843184
920	3.157663422
921	3.156038862
922	3.155023692
923	3.154452558
924	3.152664652
925	3.151889047
926	3.149584989
927	3.148027914
928	3.14574609
929	3.1455954
930	3.145526833
931	3.144036588
932	3.143910816
933	3.141395663
934	3.138368325
935	3.137916115
936	3.136307622
937	3.13620222
938	3.134766548
939	3.13265901
940	3.129092952
941	3.12676379
942	3.125801639
943	3.124728864
944	3.123021416
945	3.120976781
946	3.119906424
947	3.119026074
948	3.117370458
949	3.116710084
950	3.116306709
951	3.114009495
952	3.1137069
953	3.111102422
954	3.110313758
955	3.108880581
956	3.106473812
957	3.10542031
958	3.104088144
959	3.103416877
960	3.101632859
961	3.100452901
962	3.098528678
963	3.098436012
964	3.09778899
965	3.096584662
966	3.095772935
967	3.094345794
968	3.092699946
969	3.092573882
970	3.091857833
971	3.090707225
972	3.087881864
973	3.087800463
974	3.085828197
975	3.085658441
976	3.084343764
977	3.083101027
978	3.080521826
979	3.07970649
980	3.075528655
981	3.07246207
982	3.072332072
983	3.068873235
984	3.068534066
985	3.067546065
986	3.065517038
987	3.063245824
988	3.06226556
989	3.059463091
990	3.057706334
991	3.057429154
992	3.056376224
993	3.054357714
994	3.052784918
995	3.052671519
996	3.052628436
997	3.052242069
998	3.051154518
999	3.049861132
